Community,Year,Volume,Events,Outfalls
Auburn S.D.,1987,NA,80,11
Auburn S.D.,1988,NA,80,11
Auburn S.D.,1989,NA,80,NA
Auburn S.D.,1990,NA,80,NA
Auburn S.D.,1991,NA,80,NA
Auburn S.D.,1992,NA,80,NA
Auburn S.D.,1993,NA,21,NA
Auburn S.D.,1994,NA,21,NA
Auburn S.D.,1995,NA,10,NA
Auburn S.D.,1996,NA,10,NA
Auburn S.D.,1997,99720000,7,NA
Auburn S.D.,1998,99720000,7,NA
Auburn S.D.,1999,78340742,7,NA
Auburn S.D.,2000,102297387,7,NA
Auburn S.D.,2001,199674605,44,NA
Auburn S.D.,2002,66307631,67,6
Auburn S.D.,2003,19197928,62,6
Auburn S.D.,2004,4687316,24,6
Auburn S.D.,2005,37155818,58,6
Auburn S.D.,2006,28936137,37,6
Auburn S.D.,2007,23622547,42,4
Auburn S.D.,2008,23984272,59,3
Auburn S.D.,2009,19440841,61,3
Auburn S.D.,2010,12952500,37,3
Auburn S.D.,2011,19234856,11,2
Auburn S.D.,2012,12404500,8,3
Auburn S.D.,2013,3717000,5,2
Auburn S.D.,2014,1286000,5,2
Auburn S.D.,2015,2928519,2,1
Auburn S.D.,2016,814738,8,2
Auburn S.D.,2017,1117809,2,2
Auburn S.D.,2018,1656736,2,2
Auburn S.D.,2019,997100,5,2
Bangor,1987,NA,53,22
Bangor,1988,NA,53,22
Bangor,1989,NA,53,NA
Bangor,1990,NA,53,NA
Bangor,1991,NA,52,NA
Bangor,1992,NA,37,NA
Bangor,1993,NA,46,NA
Bangor,1994,NA,49,NA
Bangor,1995,NA,49,NA
Bangor,1996,NA,41,NA
Bangor,1997,317730000,38,NA
Bangor,1998,329000000,44,NA
Bangor,1999,285910000,33,NA
Bangor,2000,230190000,37,NA
Bangor,2001,88430000,20,NA
Bangor,2002,161000000,40,12
Bangor,2003,204000000,49,12
Bangor,2004,193870000,42,12
Bangor,2005,303160000,46,12
Bangor,2006,272750000,58,12
Bangor,2007,150580000,25,11
Bangor,2008,378640000,65,7
Bangor,2009,347360000,78,7
Bangor,2010,389300000,73,7
Bangor,2011,146000000,54,9
Bangor,2012,69940000,29,9
Bangor,2013,32140000,27,9
Bangor,2014,87748000,34,9
Bangor,2015,40109000,20,9
Bangor,2016,48586000,28,9
Bangor,2017,13310000,21,9
Bangor,2018,50547000,23,8
Bangor,2019,96009000,34,8
Bar Harbor,1987,NA,155,5
Bar Harbor,1988,NA,155,5
Bar Harbor,1989,NA,155,NA
Bar Harbor,1990,NA,155,NA
Bar Harbor,1991,NA,155,NA
Bar Harbor,1992,NA,155,NA
Bar Harbor,1993,NA,155,NA
Bar Harbor,1994,NA,155,NA
Bar Harbor,1995,NA,155,NA
Bar Harbor,1996,NA,155,NA
