event,firstdate,lastdate,days,totalprecip,maxprecip,CSO_002,CSO_004,CSO_005,CSO_006,CSO_007,CSO_008,CSO_009,CSO_010,CSO_011,CSO_012,CSO_013,CSO_014,CSO_015,CSO_016,CSO_017,CSO_018,CSO_019,CSO_020,CSO_023,CSO_024,CSO_025,CSO_026,CSO_027,CSO_028,CSO_029,CSO_030,CSO_032,CSO_033,CSO_039,CSO_042,CSO_043,eventtotal,Year
1,2015-01-18,2015-01-19,2,0.69,0.23,0,0,80000,0,0,0,0,25000,0,0,0,0,0,0,0,526000,0,0,0,0,0,926000,0,2000,0,0,0,0,47300,0,0,1606300,2015
2,2015-03-14,2015-03-15,2,0.8300000000000001,0.18,0,0,284000,0,0,0,0,134000,0,0,66000,0,0,0,0,0,0,2000,158000,0,28000,966000,0,41000,0,0,0,0,39000,0,0,1718000,2015
3,2015-03-26,2015-03-27,2,0.59,0.12,0,0,443000,1000,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71000,0,0,615000,2015
4,2015-04-10,2015-04-10,1,0.43,0.07,0,0,43000,0,0,0,0,0,0,0,0,0,0,0,0,215000,0,0,0,0,0,0,0,0,0,0,0,0,367000,0,0,625000,2015
5,2015-04-20,2015-04-23,4,3.81,0.5,0,0,1987000,4853500,12520000,0,0,4717000,0,824000,1754000,68100,2457500,782600,0,5747000,0,0,0,34000,1323000,3624000,0,3289000,14700,0,101400,3016800,1619400,1571000,0,50304000,2015
6,2015-05-10,2015-05-10,1,0.48,0.44,0,0,52000,3000,0,0,0,0,0,94000,115000,14000,292000,70000,1020000,426000,0,0,0,17000,277000,374000,15000,126000,16000,0,14000,0,72000,26000,0,3023000,2015
7,2015-05-12,2015-05-12,1,0.19,0.18,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,27000,2015
8,2015-05-19,2015-05-19,1,0.23,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600,2015
9,2015-05-28,2015-05-29,2,1.08,0.64,0,0,90000,48000,0,0,0,3000,0,3000,133000,59000,357000,100000,20000,559000,0,70000,0,55000,799000,339000,92000,173000,10000,31000,10000,0,143000,140000,0,3234000,2015
10,2015-05-31,2015-06-02,3,2.84,0.31,0,0,368000,0,0,0,0,424000,0,0,29000,0,2000,43000,1224000,3313000,0,1103000,0,0,281000,1309000,0,70000,0,0,0,0,480000,12000,0,8658000,2015
11,2015-06-06,2015-06-06,1,0.13,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,1000,0,0,7000,2015
12,2015-06-12,2015-06-12,1,0.14,0.13,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,3000,0,0,7000,2015
13,2015-06-16,2015-06-16,1,0.16,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,5000,2015
14,2015-06-19,2015-06-19,1,0.15,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,16000,2015
15,2015-06-21,2015-06-23,3,2.49,0.46,0,0,343000,30000,176000,0,0,22000,0,221000,432000,21000,720000,288000,0,2293000,0,475000,654000,94000,961000,1797000,31000,318000,25000,0,8000,0,469000,145000,0,9523000,2015
16,2015-06-28,2015-06-29,2,1.79,0.28,0,0,362000,0,66000,0,0,210000,0,0,194000,0,172000,83000,894000,2943000,0,20000,395000,0,557000,1452000,0,59000,0,0,0,0,260000,89000,0,7756000,2015
17,2015-07-01,2015-07-01,1,0.27,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000,2015
18,2015-07-19,2015-07-20,2,0.55,0.18,0,0,56000,6000,0,0,0,0,0,0,48000,0,72000,40000,674000,126000,0,152000,361000,66000,447000,625000,3000,108000,17000,0,0,0,37000,33000,0,2871000,2015
19,2015-08-03,2015-08-04,2,0.7,0.51,0,0,60000,11000,157000,0,0,4000,0,32000,199000,18000,346000,32000,0,1168000,0,9000,0,0,0,161000,0,16000,0,0,0,0,133000,87000,0,2433000,2015
20,2015-08-11,2015-08-11,1,1.23,0.57,0,0,158000,1000,23000,0,0,213000,0,7000,211000,2000,462000,131000,2970000,235000,0,158000,470000,0,773000,963000,1000,139000,12000,0,0,0,279000,134000,0,7342000,2015
21,2015-08-15,2015-08-15,1,0.39,0.24,0,0,0,0,0,0,0,0,0,0,43000,1000,164000,11000,485000,0,0,0,0,0,109000,0,0,52000,27000,0,11000,0,162000,13000,0,1078000,2015
22,2015-08-21,2015-08-21,1,0.64,0.25,0,0,4000,0,0,0,0,0,0,0,32000,0,46000,23000,451000,167000,0,83000,86000,0,47000,291000,0,27000,4000,0,0,0,30000,0,0,1291000,2015
23,2015-08-23,2015-08-23,1,0.37,0.21,0,0,6000,0,0,0,0,0,0,0,42000,2000,103000,59000,981000,394000,0,8000,106000,0,151000,223000,4000,75000,37000,0,0,0,20000,0,0,2211000,2015
24,2015-09-03,2015-09-03,1,0.19,0.18,0,0,0,0,0,0,0,0,0,0,29000,1000,62000,23000,0,0,0,0,0,0,0,99000,1000,55000,25000,0,0,0,0,0,0,295000,2015
25,2015-09-09,2015-09-09,1,0.45,0.39,0,0,17000,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,37000,2015
26,2015-09-11,2015-09-11,1,0.6,0.44,0,0,38000,0,278000,0,0,0,0,0,85000,0,49000,41000,732000,235000,0,64000,90000,0,317000,312000,0,37000,6000,0,0,0,57000,34000,0,2375000,2015
27,2015-09-13,2015-09-14,2,0.62,0.19,0,0,0,0,0,0,0,0,0,0,26000,0,1000,33000,1580000,1139000,0,0,181000,0,202000,337000,0,34000,2000,0,0,0,28000,0,0,3563000,2015
28,2015-09-29,2015-10-01,3,5.73,2.05,0,0,1586000,7385000,6821000,0,0,142000,0,0,2169000,648000,4064000,1233000,9637000,5243000,591000,643000,4503000,820000,7034000,4027000,807000,2211000,362000,487000,237000,12537000,2063000,1442000,0,76692000,2015
29,2015-10-09,2015-10-09,1,0.46,0.2,0,0,0,0,0,0,0,0,0,0,20000,0,0,14000,0,0,0,0,0,0,0,165000,0,1000,0,0,0,0,12000,0,0,212000,2015
30,2015-10-28,2015-10-29,2,1.84,0.4,0,0,155000,0,0,0,0,121000,0,40000,188000,0,27000,95000,1690000,763000,0,47000,205000,0,1012000,942000,0,52000,0,0,0,0,195000,90000,0,5622000,2015
31,2015-11-20,2015-11-20,1,1.6,0.36,0,0,361000,0,225000,0,0,258000,0,0,248000,0,486000,163000,4530000,1378000,0,21000,514000,0,1259000,1095000,0,142000,1000,0,0,0,261000,135000,0,11077000,2015
32,2015-11-23,2015-11-23,1,0.18,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52000,23000,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,104000,2015
