CSO,Location,Events,Volume,Events2019,Volume2019
CSO_002,Arcadia St PS,1,4000,0,0
CSO_004,Tukey's Siphon,0,0,0,0
CSO_005,Randall St,124,34525000,29,5799000
CSO_006,Johansen St,22,13402490,0,0
CSO_007,Ocean Ave,35,67269000,2,4152000
CSO_008,Clifton St,0,0,0,0
CSO_009,George St,0,0,0,0
CSO_010,Mackworth St,129,93815000,27,11485000
CSO_011,Codman St,0,0,0,0
CSO_012,Vannah Ave,124,20870000,38,5355000
CSO_013,Forest at Belmont,139,21556200,32,3028200
CSO_014,Forest at Coyle,41,1665500,5,66900
CSO_015,Dartmouth at Baxter,112,40076000,24,6975100
CSO_016,Bank Rd,130,12932600,24,1425800
CSO_017,Preble at Marginal,158,358445700,28,40724000
CSO_018,Franklin at Marginal,151,131461600,31,16607000
CSO_019,Anderson at Fox,3,800000,0,0
CSO_020,Northeast PS,107,46045000,9,660000
CSO_023,India St PS,77,38526000,16,5555000
CSO_024,Franklin at Middle,26,2339000,3,44000
CSO_025,Long Wharf,86,79425000,17,6970000
CSO_026,Maple St,92,65427000,15,6377000
CSO_027,Clark St,32,2078400,6,112400
CSO_028,Emery St,125,19854200,27,2712300
CSO_029,Commercial St,56,1675800,11,305700
CSO_030,Saint John St,6,1014100,2,397100
CSO_032,Thompson's Pt PS,33,741600,7,134200
CSO_033,Fore River PS,19,23685100,3,1665900
CSO_039,Rowe Ave,145,24924700,32,2777100
CSO_042,"Warren Ave 60""",90,20271000,25,4593000
CSO_043,"Warren Ave 24""",0,0,0,0
