thedate,AADaily,AAMax,BBDaily,BBMax,RSDaily,RSMax,FSDaily,FSMAx,JetportDaily,JetportMax,Comments
2015-01-01,0,0,0,0,0,0,0,0,0,0,NA
2015-01-02,0,0,0,0,0,0,0,0,0,0,NA
2015-01-03,0,0,0,0,0,0,0,0,0.41,0.11,NA
2015-01-04,0,0,0,0,0,0,0,0,0.47,0.1,NA
2015-01-05,0.09,0.02,0.06,0.02,0.01,0.01,0.12,0.04,0,0,NA
2015-01-06,0,0,0,0,0,0,0,0,0,0,NA
2015-01-07,0,0,0,0,0,0,0,0,0,0,NA
2015-01-08,0,0,0,0,0,0,0,0,0,0,NA
2015-01-09,0,0,0,0,0,0,0,0,0.05,0.02,NA
2015-01-10,0,0,0,0,0,0,0,0,0,0,NA
2015-01-11,0,0,0,0,0,0,0,0,0,0,NA
2015-01-12,0,0,0,0,0.01,0.01,0,0,0.21,0.05,NA
2015-01-13,0,0,0,0,0,0,0,0,0,0,NA
2015-01-14,0,0,0,0,0,0,0,0,0,0,NA
2015-01-15,0,0,0,0,0,0,0,0,0.03,0,NA
2015-01-16,0.03,0.02,0,0,0,0,0.02,0.01,0,0,NA
2015-01-17,0,0,0,0,0,0,0,0,0,0,NA
2015-01-18,0.57,0.23,0.71,0.31,0.4,0.16,0.47,0.12,0.25,0.08,NA
2015-01-19,0.12,0.06,0.08,0.03,0.08,0.04,0.1,0.05,0.11,0.05,NA
2015-01-20,0,0,0,0,0,0,0,0,0,0,NA
2015-01-21,0,0,0,0,0,0,0,0,0,0,NA
2015-01-22,0,0,0,0,0,0,0,0,0,0,NA
2015-01-23,0,0,0,0,0,0,0,0,0,0,NA
2015-01-24,0,0,0,0,0.03,0.02,0,0,0.27,0.04,NA
2015-01-25,0,0,0,0,0.01,0.01,0,0,0,0,NA
2015-01-26,0,0,0,0,0,0,0,0,0,0,NA
2015-01-27,0,0,0,0,0,0,0.01,0.01,2.37,0.07,NA
2015-01-28,0,0,0.01,0.01,0,0,0,0,0.1,0.03,NA
2015-01-29,0.14,0.06,0.21,0.1,0,0,0,0,0,0,NA
2015-01-30,0,0,0,0,0,0,0,0,0,0,NA
2015-01-31,0,0,0,0,0,0,0,0,0,0,NA
2015-02-01,0,0,0.02,0.02,0,0,0,0,0,0,NA
2015-02-02,0,0,0,0,0,0,0,0,0.89,0.1,NA
2015-02-03,0,0,0,0,0,0,0,0,0,0,NA
2015-02-04,0.02,0.01,0.12,0.06,0,0,0.01,0.01,0.06,0,NA
2015-02-05,0,0,0,0,0,0,0,0,0.21,0.05,NA
2015-02-06,0,0,0.01,0.01,0,0,0,0,0,0,NA
2015-02-07,0,0,0,0,0,0,0,0,0,0,NA
2015-02-08,0,0,0,0,0,0,0,0,0.26,0.03,NA
2015-02-09,0,0,0,0,0,0,0,0,0.4,0.03,NA
2015-02-10,0,0,0.01,0.01,0,0,0,0,0.13,0.04,NA
2015-02-11,0,0,0,0,0,0,0,0,0,0,NA
2015-02-12,0,0,0,0,0,0,0,0,0.04,0.01,NA
2015-02-13,0,0,0,0,0,0,0,0,0,0,NA
2015-02-14,0,0,0,0,0,0,0,0,0.23,0.04,NA
2015-02-15,0,0,0,0,0,0,0,0,0.02,0.01,NA
2015-02-16,0,0,0,0,0,0,0,0,0,0,NA
2015-02-17,0,0,0.01,0.01,0,0,0,0,0,0,NA
