date,datatype,value,attributes,station
1987-01-01T00:00:00,AWND,4,X,GHCND:USW00014764
1987-01-01T00:00:00,CDSD,167.3,,GHCND:USW00014764
1987-01-01T00:00:00,CLDD,167.3,0,GHCND:USW00014764
1987-01-01T00:00:00,DP01,120,0,GHCND:USW00014764
1987-01-01T00:00:00,DP10,75,0,GHCND:USW00014764
1987-01-01T00:00:00,DP1X,9,0,GHCND:USW00014764
1987-01-01T00:00:00,DSND,105,,GHCND:USW00014764
1987-01-01T00:00:00,DSNW,24,0,GHCND:USW00014764
1987-01-01T00:00:00,DT00,10,0,GHCND:USW00014764
1987-01-01T00:00:00,DT32,150,0,GHCND:USW00014764
1987-01-01T00:00:00,DX32,32,0,GHCND:USW00014764
1987-01-01T00:00:00,DX70,106,0,GHCND:USW00014764
1987-01-01T00:00:00,DX90,6,0,GHCND:USW00014764
1987-01-01T00:00:00,DYFG,165, ,GHCND:USW00014764
1987-01-01T00:00:00,DYHF,38, ,GHCND:USW00014764
1987-01-01T00:00:00,DYTS,14, ,GHCND:USW00014764
1987-01-01T00:00:00,EMNT,-23.9,"0,0215,+",GHCND:USW00014764
1987-01-01T00:00:00,EMSD,762," ,0,0201, ",GHCND:USW00014764
1987-01-01T00:00:00,EMSN,330," ,0,0102, ",GHCND:USW00014764
1987-01-01T00:00:00,EMXP,69.9," ,0,0331, ",GHCND:USW00014764
1987-01-01T00:00:00,EMXT,36.1,"0,0817, ",GHCND:USW00014764
1987-01-01T00:00:00,FZF0,0,"0,1005",GHCND:USW00014764
1987-01-01T00:00:00,FZF1,-2.2,"0,1014",GHCND:USW00014764
1987-01-01T00:00:00,FZF2,-5,"0,1106",GHCND:USW00014764
1987-01-01T00:00:00,FZF3,-10,"0,1121",GHCND:USW00014764
1987-01-01T00:00:00,FZF4,-10,"0,1121",GHCND:USW00014764
1987-01-01T00:00:00,FZF5,0,"0,0509",GHCND:USW00014764
1987-01-01T00:00:00,FZF6,-2.2,"0,0427",GHCND:USW00014764
1987-01-01T00:00:00,FZF7,-4.4,"0,0317",GHCND:USW00014764
1987-01-01T00:00:00,FZF8,-11.7,"0,0312",GHCND:USW00014764
1987-01-01T00:00:00,FZF9,-11.7,"0,0312",GHCND:USW00014764
1987-01-01T00:00:00,HDSD,4090.7,7,GHCND:USW00014764
1987-01-01T00:00:00,HTDD,4090.7,0,GHCND:USW00014764
1987-01-01T00:00:00,PRCP,1036.8," ,0",GHCND:USW00014764
1987-01-01T00:00:00,SNOW,2126," ,0",GHCND:USW00014764
1987-01-01T00:00:00,TAVG,7.72,0,GHCND:USW00014764
1987-01-01T00:00:00,TMAX,13.12,0,GHCND:USW00014764
1987-01-01T00:00:00,TMIN,2.32,0,GHCND:USW00014764
1987-01-01T00:00:00,TSUN,143861,X,GHCND:USW00014764
1987-01-01T00:00:00,WDF1,80,X,GHCND:USW00014764
1987-01-01T00:00:00,WDFG,315,X,GHCND:USW00014764
1987-01-01T00:00:00,WSF1,14.8,X,GHCND:USW00014764
1987-01-01T00:00:00,WSFG,21.6,X,GHCND:USW00014764
1988-01-01T00:00:00,AWND,4.3,X,GHCND:USW00014764
1988-01-01T00:00:00,CDSD,296.9,,GHCND:USW00014764
1988-01-01T00:00:00,CLDD,296.9,0,GHCND:USW00014764
1988-01-01T00:00:00,DP01,131,0,GHCND:USW00014764
1988-01-01T00:00:00,DP10,79,0,GHCND:USW00014764
1988-01-01T00:00:00,DP1X,12,0,GHCND:USW00014764
1988-01-01T00:00:00,DSND,62,,GHCND:USW00014764
1988-01-01T00:00:00,DSNW,11,0,GHCND:USW00014764
1988-01-01T00:00:00,DT00,11,0,GHCND:USW00014764
1988-01-01T00:00:00,DT32,144,0,GHCND:USW00014764
1988-01-01T00:00:00,DX32,42,0,GHCND:USW00014764
1988-01-01T00:00:00,DX70,103,0,GHCND:USW00014764
1988-01-01T00:00:00,DX90,15,0,GHCND:USW00014764
1988-01-01T00:00:00,DYFG,170, ,GHCND:USW00014764
1988-01-01T00:00:00,DYHF,32, ,GHCND:USW00014764
1988-01-01T00:00:00,DYTS,29, ,GHCND:USW00014764
1988-01-01T00:00:00,EMNT,-25,"0,0206,+",GHCND:USW00014764
1988-01-01T00:00:00,EMSD,406," ,0,0214,+",GHCND:USW00014764
1988-01-01T00:00:00,EMSN,323," ,0,0212, ",GHCND:USW00014764
1988-01-01T00:00:00,EMXP,63.5," ,0,1102, ",GHCND:USW00014764
1988-01-01T00:00:00,EMXT,36.1,"0,0615, ",GHCND:USW00014764
1988-01-01T00:00:00,FZF0,-1.1,"0,1007",GHCND:USW00014764
1988-01-01T00:00:00,FZF1,-2.8,"0,1020",GHCND:USW00014764
1988-01-01T00:00:00,FZF2,-4.4,"0,1021",GHCND:USW00014764
1988-01-01T00:00:00,FZF3,-7.2,"0,1204",GHCND:USW00014764
1988-01-01T00:00:00,FZF4,-10.6,"0,1205",GHCND:USW00014764
1988-01-01T00:00:00,FZF5,0,"0,0426",GHCND:USW00014764
1988-01-01T00:00:00,FZF6,-3.3,"0,0414",GHCND:USW00014764
1988-01-01T00:00:00,FZF7,-8.9,"0,0323",GHCND:USW00014764
1988-01-01T00:00:00,FZF8,-8.9,"0,0323",GHCND:USW00014764
1988-01-01T00:00:00,FZF9,-8.9,"0,0323",GHCND:USW00014764
1988-01-01T00:00:00,HDSD,4023.5,5,GHCND:USW00014764
1988-01-01T00:00:00,HTDD,4023.5,0,GHCND:USW00014764
1988-01-01T00:00:00,PRCP,1108.6," ,0",GHCND:USW00014764
1988-01-01T00:00:00,SNOW,1307," ,0",GHCND:USW00014764
1988-01-01T00:00:00,TAVG,8.07,0,GHCND:USW00014764
1988-01-01T00:00:00,TMAX,13.39,0,GHCND:USW00014764
1988-01-01T00:00:00,TMIN,2.75,0,GHCND:USW00014764
1988-01-01T00:00:00,TSUN,153186,X,GHCND:USW00014764
1988-01-01T00:00:00,WDF1,60,X,GHCND:USW00014764
1988-01-01T00:00:00,WDFG,180,X,GHCND:USW00014764
1988-01-01T00:00:00,WSF1,13.9,X,GHCND:USW00014764
1988-01-01T00:00:00,WSFG,21.6,X,GHCND:USW00014764
1989-01-01T00:00:00,AWND,4.1,X,GHCND:USW00014764
1989-01-01T00:00:00,CDSD,200.1,,GHCND:USW00014764
1989-01-01T00:00:00,CLDD,200.1,0,GHCND:USW00014764
1989-01-01T00:00:00,DP01,132,0,GHCND:USW00014764
1989-01-01T00:00:00,DP10,73,0,GHCND:USW00014764
1989-01-01T00:00:00,DP1X,9,0,GHCND:USW00014764
1989-01-01T00:00:00,DSND,67,,GHCND:USW00014764
1989-01-01T00:00:00,DSNW,15,0,GHCND:USW00014764
1989-01-01T00:00:00,DT00,14,0,GHCND:USW00014764
1989-01-01T00:00:00,DT32,157,0,GHCND:USW00014764
1989-01-01T00:00:00,DX32,62,0,GHCND:USW00014764
1989-01-01T00:00:00,DX70,115,0,GHCND:USW00014764
1989-01-01T00:00:00,DX90,4,0,GHCND:USW00014764
1989-01-01T00:00:00,DYFG,189, ,GHCND:USW00014764
1989-01-01T00:00:00,DYHF,41, ,GHCND:USW00014764
1989-01-01T00:00:00,DYTS,17, ,GHCND:USW00014764
1989-01-01T00:00:00,EMNT,-25,"0,1224, ",GHCND:USW00014764
1989-01-01T00:00:00,EMSD,254," ,0,1219,+",GHCND:USW00014764
1989-01-01T00:00:00,EMSN,196," ,0,1216, ",GHCND:USW00014764
1989-01-01T00:00:00,EMXP,84.3," ,0,0511, ",GHCND:USW00014764
1989-01-01T00:00:00,EMXT,35,"0,0726, ",GHCND:USW00014764
1989-01-01T00:00:00,FZF0,0,"0,0925",GHCND:USW00014764
1989-01-01T00:00:00,FZF1,-2.8,"0,1010",GHCND:USW00014764
1989-01-01T00:00:00,FZF2,-4.4,"0,1113",GHCND:USW00014764
1989-01-01T00:00:00,FZF3,-7.8,"0,1121",GHCND:USW00014764
1989-01-01T00:00:00,FZF4,-11.1,"0,1123",GHCND:USW00014764
1989-01-01T00:00:00,FZF5,-1.7,"0,0429",GHCND:USW00014764
1989-01-01T00:00:00,FZF6,-3.3,"0,0425",GHCND:USW00014764
1989-01-01T00:00:00,FZF7,-4.4,"0,0412",GHCND:USW00014764
1989-01-01T00:00:00,FZF8,-8.3,"0,0323",GHCND:USW00014764
1989-01-01T00:00:00,FZF9,-9.4,"0,0320",GHCND:USW00014764
1989-01-01T00:00:00,HDSD,4006.2,2,GHCND:USW00014764
1989-01-01T00:00:00,HTDD,4006.2,0,GHCND:USW00014764
1989-01-01T00:00:00,PRCP,1056," ,0",GHCND:USW00014764
1989-01-01T00:00:00,SNOW,1223," ,0",GHCND:USW00014764
1989-01-01T00:00:00,TAVG,7.31,0,GHCND:USW00014764
1989-01-01T00:00:00,TMAX,12.61,0,GHCND:USW00014764
1989-01-01T00:00:00,TMIN,2,0,GHCND:USW00014764
1989-01-01T00:00:00,TSUN,153151,X,GHCND:USW00014764
1989-01-01T00:00:00,WDF1,320,X,GHCND:USW00014764
1989-01-01T00:00:00,WDFG,315,X,GHCND:USW00014764
1989-01-01T00:00:00,WSF1,14.3,X,GHCND:USW00014764
1989-01-01T00:00:00,WSFG,22.1,X,GHCND:USW00014764
1990-01-01T00:00:00,AWND,3.9,X,GHCND:USW00014764
1990-01-01T00:00:00,CDSD,224.4,,GHCND:USW00014764
1990-01-01T00:00:00,CLDD,224.4,0,GHCND:USW00014764
1990-01-01T00:00:00,DP01,133,0,GHCND:USW00014764
1990-01-01T00:00:00,DP10,80,0,GHCND:USW00014764
1990-01-01T00:00:00,DP1X,12,0,GHCND:USW00014764
1990-01-01T00:00:00,DSND,55,,GHCND:USW00014764
1990-01-01T00:00:00,DSNW,11,0,GHCND:USW00014764
1990-01-01T00:00:00,DT00,3,0,GHCND:USW00014764
1990-01-01T00:00:00,DT32,132,0,GHCND:USW00014764
1990-01-01T00:00:00,DX32,23,0,GHCND:USW00014764
1990-01-01T00:00:00,DX70,101,0,GHCND:USW00014764
1990-01-01T00:00:00,DX90,5,0,GHCND:USW00014764
1990-01-01T00:00:00,DYFG,178, ,GHCND:USW00014764
1990-01-01T00:00:00,DYHF,56, ,GHCND:USW00014764
1990-01-01T00:00:00,DYTS,20, ,GHCND:USW00014764
1990-01-01T00:00:00,EMNT,-19.4,"0,0227, ",GHCND:USW00014764
1990-01-01T00:00:00,EMSD,457," ,0,0205, ",GHCND:USW00014764
1990-01-01T00:00:00,EMSN,290," ,0,0204, ",GHCND:USW00014764
1990-01-01T00:00:00,EMXP,119.4," ,0,1110, ",GHCND:USW00014764
1990-01-01T00:00:00,EMXT,33.3,"0,0718, ",GHCND:USW00014764
1990-01-01T00:00:00,FZF0,-0.6,"0,1021",GHCND:USW00014764
1990-01-01T00:00:00,FZF1,-2.2,"0,1027",GHCND:USW00014764
1990-01-01T00:00:00,FZF2,-4.4,"0,1112",GHCND:USW00014764
1990-01-01T00:00:00,FZF3,-6.7,"0,1206",GHCND:USW00014764
1990-01-01T00:00:00,FZF4,-8.9,"0,1214",GHCND:USW00014764
